run #, test-external-standalone total, test-external-cluster total, test-external-nodebug total, test-external-standalone build, test-external-cluster build, test-external-nodebug build
11661, 5:09, 5:19, 4:48, 1:33, 1:38, 1:34
11660, 5:26, 5:38, 4:50, 1:43, 1:51, 1:35
11659, 5:48, 5:33, 4:50, 2:12, 1:51, 1:36
11658, 5:31, 5:17, 4:54, 1:49, 1:35, 1:37
11657, 5:32, 5:19, 4:58, 1:52, 1:38, 1:43
11656, 5:19, 5:29, 4:49, 1:41, 1:50, 1:32
11655, 5:31, 5:23, 4:44, 1:48, 1:37, 1:34
11654, 5:20, 5:14, 4:50, 1:44, 1:34, 1:33
11652, 5:19, 5:22, 4:56, 1:35, 1:37, 1:36
11651, 5:12, 5:21, 4:46, 1:34, 1:39, 1:34
11650, 5:14, 5:25, 4:47, 1:34, 1:46, 1:34
11649, 5:13, 5:15, 4:57, 1:34, 1:34, 1:44
11647, 5:20, 6:05, 4:52, 1:45, 2:17, 1:41
11645, 5:10, 5:17, 4:46, 1:33, 1:34, 1:34
11644, 5:27, 5:20, 5:05, 1:47, 1:35, 1:48
11643, 5:18, 5:30, 5:14, 1:42, 1:48, 2:06
11640, 5:26, 5:31, 5:44, 1:50, 1:48, 2:27
11638, 5:10, 5:15, 5:00, 1:36, 1:34, 1:46
11637, 5:20, 5:26, 5:03, 1:35, 1:42, 1:45
11636, 5:18, 5:13, 4:49, 1:38, 1:35, 1:34
11635, 5:23, 5:20, 4:57, 1:46, 1:36, 1:44